"","K5_stage","ETU","DAS"
"SHSL002_01_S1.count.txt","5",9.57,45
"SHSL002_02_S2.count.txt","5",9.75,45
"SHSL002_03_S3.count.txt","5",8.32,45
"SHSL002_04_S4.count.txt","3",4.88,42
"SHSL002_05_S5.count.txt","4",6.72,42
"SHSL002_06_S6.count.txt","4",7.35,42
"SHSL002_07_S7.count.txt","4",6.64,42
"SHSL002_08_S8.count.txt","5",8.48,42
"SHSL002_09_S9.count.txt","5",9.3,42
"SHSL002_10_S10.count.txt","5",9.69,42
"SHSL002_11_S11.count.txt","5",8.34,42
"SHSL002_12_S12.count.txt","4",7.61,41
"SHSL002_13_S13.count.txt","4",7.27,41
"SHSL002_14_S14.count.txt","5",8.71,41
"SHSL002_15_S15.count.txt","5",7.89,41
"SHSL002_16_S16.count.txt","4",7.13,40
"SHSL002_17_S17.count.txt","3",5.37,40
"SHSL002_18_S18.count.txt","4",5.93,40
"SHSL002_19_S19.count.txt","4",5.57,39
"SHSL002_20_S20.count.txt","3",4.53,39
"SHSL002_21_S21.count.txt","4",6.67,39
"SHSL002_22_S22.count.txt","3",4.21,39
"SHSL002_23_S23.count.txt","2",1.95,38
"SHSL002_24_S24.count.txt","3",3.92,38
"SHSL002_25_S25.count.txt","3",4.49,38
"SHSL002_26_S26.count.txt","4",6.12,38
"SHSL002_27_S27.count.txt","3",4.73,38
"SHSL002_28_S28.count.txt","3",2.9,38
"SHSL002_29_S29.count.txt","3",3.36,36
"SHSL002_30_S30.count.txt","2",2.46,36
"SHSL002_31_S31.count.txt","1",0.41,35
"SHSL002_32_S32.count.txt","2",1.53,35
"SHSL002_33_S33.count.txt","1",0.04,34
"SHSL002_34_S34.count.txt","1",0.83,34
"SHSL002_35_S35.count.txt","1",0,34
"SHSL002_36_S36.count.txt","1",0,33
"SHSL002_37_S37.count.txt","1",0,33
"SHSL002_38_S38.count.txt","1",0.18,33
"SHSL002_39_S39.count.txt","1",0.42,32
"SHSL002_40_S40.count.txt","1",0.39,32
